번호,공고일자,청약 접수기간,시도,시군구,주소,주택유형,전용면적(m2),임대보증금액,href_id,address,x,y,img,deposit,m2,deposit_m2,distanceM_near_station,near_station,expected_time,distance_comp,신청자수
500,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강동구                                                                                         ,"서울 강동구 길동 387-5, 387-10 길동청광플러스원큐브1차 2층 206호                                                                                                                                                                                                                                             ",오피스텔(주거용)                                                                                    ,19.925,"88,200,000",no=2022230685,서울 강동구 길동 387-5,37.5380101043305,127.138345254621,http://www.khug.or.kr/updata/hug/cm/s05/007001742880361504000014.png,8820.0,19.925,442.6599749058971,149,길동역 5호선,33.5,15980,1161
499,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강북구                                                                                         ,서울 강북구 수유동 252-24 유화빌 B동 3층 301호                                                                                                                                                                                                                                                               ,다세대주택                                                                                          ,40.6,"180,900,000",no=2022285369,서울 강북구 수유동 252-24 유화빌 B동 3층 301호,37.6458882580359,127.021155398859,http://www.khug.or.kr/updata/hug/cm/s05/007001742880376192000116.png,18090.0,40.6,445.5665024630542,618,가오리역 우이신설선,48.43333333333333,18959,186
498,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강북구                                                                                         ,"서울 강북구 수유동 279-76, 698-17 미소지음 7층 703호                                                                                                                                                                                                                                                         ",다세대주택                                                                                          ,25.96,"128,700,000",no=2023224369,서울 강북구 수유동 279-76,37.6484264746944,127.015590573928,http://www.khug.or.kr/updata/hug/cm/s05/007001742880455993000022.PNG,12870.0,25.96,495.7627118644068,207,4.19민주묘지역 우이신설선,50.45,19557,103
497,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강북구                                                                                         ,"서울 강북구 수유동 410-80, 410-81, 519-5 참하우스토리 4층 403호                                                                                                                                                                                                                                              ",다세대주택                                                                                          ,26.73,"139,500,000",no=2023123637,서울 강북구 수유동 410-80,37.6384811281331,127.012692454967,http://www.khug.or.kr/updata/hug/cm/s05/007001742880435226000227.png,13950.0,26.73,521.8855218855218,494,가오리역 우이신설선,47.16666666666666,20218,59
496,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 공항동 680-5 마곡블루힐 5층 503호                                                                                                                                                                                                                                                                ,다세대주택                                                                                          ,26.43,"164,700,000",no=2022385261,서울 강서구 공항동 680-5 마곡블루힐 5층 503호,37.5551651562328,126.814168658683,http://www.khug.or.kr/updata/hug/cm/s05/00700174288040540400054.png,16470.0,26.43,623.155505107832,683,송정역 5호선,49.9,24729,44
495,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 내발산동 711-16 우영채움빌 2층 201호                                                                                                                                                                                                                                                             ,다세대주택                                                                                          ,28.19,"197,100,000",no=2022069973,서울 강서구 내발산동 711-16 우영채움빌 2층 201호,37.5503695812266,126.833032926249,http://www.khug.or.kr/updata/hug/cm/s05/007001742880320199000320.png,19710.0,28.19,699.1841078396594,338,우장산역 5호선,51.266666666666666,24443,17
494,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 내발산동 711-16 우영채움빌 2층 202호                                                                                                                                                                                                                                                             ,다세대주택                                                                                          ,23.4,"166,500,000",no=2022358351,서울 강서구 내발산동 711-16 우영채움빌 2층 202호,37.5503695812266,126.833032926249,http://www.khug.or.kr/updata/hug/cm/s05/007001742880396414000018.png,16650.0,23.4,711.5384615384615,338,우장산역 5호선,51.266666666666666,24443,21
493,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 내발산동 711-16 우영채움빌 3층 302호                                                                                                                                                                                                                                                             ,다세대주택                                                                                          ,23.4,"167,400,000",no=2022069974,서울 강서구 내발산동 711-16 우영채움빌 3층 302호,37.5503695812266,126.833032926249,http://www.khug.or.kr/updata/hug/cm/s05/007001742880320199000321.png,16740.0,23.4,715.3846153846155,338,우장산역 5호선,51.266666666666666,24443,22
492,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 내발산동 711-16 우영채움빌 6층 601호                                                                                                                                                                                                                                                             ,다세대주택                                                                                          ,28.0,"188,100,000",no=2022358352,서울 강서구 내발산동 711-16 우영채움빌 6층 601호,37.5503695812266,126.833032926249,http://www.khug.or.kr/updata/hug/cm/s05/007001742880396414000019.png,18810.0,28.0,671.7857142857143,338,우장산역 5호선,51.266666666666666,24443,31
491,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,"서울 강서구 등촌동 365-207, 529-23, 533-52 션밸리 2층 204호                                                                                                                                                                                                                                                  ",다세대주택                                                                                          ,26.59,"196,200,000",no=2022275115,서울 강서구 등촌동 365-207,37.5507323248979,126.860912855066,http://www.khug.or.kr/updata/hug/cm/s05/007001742880376192000111.png,19620.0,26.59,737.8713802181271,411,등촌역 9호선,41.78333333333333,19020,118
